tank n S2, W2
specifically adv S2, W3
sufficient adj S2, W2
target n S2, W2
stock n S2, W2
sugar n S2, W3
task n S2, W1
speech n S2, W2
taste n S2, W2
speed n S2, W1
stone n S2, W1
suit n S2, W3
stop n S2, W3
sum n S2, W2
spirit n S2, W2
sun n S2, W1
teaching n S2, W2
split v S2, W3
straight adj S2, W3
tear v S2, W3
supply n S2, W2
technical adj S2, W2
strange adj S2, W2
technology n S2, W1
sport n S2, W2
stranger n S2, W2
spot n S2, W2
spread v S2, W2
temperature n S2, W2
spring n S2, W2
square adj S2, W3
strength n S2, W2
surgery n S2, W2
square n S2, W3
surprised adj S2, W2
staff n S2, W2
trip n S2, W2
text n S2, W1
truck n S2, W3
trust v S2, W3
usual adj S2, W2
tool n S2, W2
tooth n S2, W2
vacation n S2, W3
theatre n S2, W2
TV n S2, W2
value n S2, W1
total n S2, W2
van n S2, W3
theme n S2, W2
touch n S2, W2
variety n S2, W1
touch v S2, W2
tough adj S2, W2
typical adj S2, W2
theory n S2, W1
vehicle n S2, W2
version n S2, W2
very adj S2, W1
thick adj S2, W2
thin adj S2, W2
track n S2, W2
uncle n S2, W3
tradition n S2, W2
unemployed adj S2, W3
violence n S2, W2
unemployment n S2, W2
virtually adv S2, W2
training n S2, W1
visit v S2, W1
unit n S2, W2
united adj S2, W3
transport n S2, W2
voice n S2, W1
tie v S2, W3
travel n S2, W2
university n S2, W1
tight adj S2, W3
travel v S2, W2
vote n S2, W2
vote v S2, W2
treat v S2, W1
treatment n S2, W1
wage n S2, W2
tiny adj S2, W2
unusual adj S2, W3
tip n S2, W3
wake v S2, W3
upon prep S2, W1
walk n S2, W2
war n S2, W1
warm adj S2, W2
writing n S2, W3
whole n S2, W2
yard n S2, W2
waste n S2, W3
waste v S2, W3
yellow adj S2, W3
watch n S2, W3
wild adj S2, W2
will n S2, W2
willing adj S2, W3
wind n S2, W2
youth n S2, W2
web n S2, W2
website n S2, W2
wine n S2, W2
wedding n S2, W3
wing n S2, W2
winter n S2, W2
wire n S2, W3
welcome adj S2, W3
welcome v S2, W2
witness n S2, W3
western adj S2, W2
wet adj S2, W3
wood n S2, W2
wheel n S2, W3
worker n S2, W1
working adj S2, W2
worried adj S2, W3
whereas conj S2, W2
worse adj S2, W2
