reckon v S1, W3
right adj S1, W1
right adv S1, W1
quarter n S1, W2
recognize v S1, W1
right n S1, W1
ring n S1, W2
ring v S1, W2
simple adj S1, W1
simply adv S1, W1
school n S1, W1
science n S1, W1
sex n S1, W2
sing v S1, W2
road n S1, W1
single adj S1, W1
shall modal S1, W1
sir n S1, W3
roll v S1, W2
sister n S1, W1
share n S1, W1
sit v S1, W1
room n S1, W1
share v S1, W1
site n S1, W2
situation n S1, W1
size n S1, W1
she pron S1, W1
round adj S1, W2
sheet n S1, W2
sleep v S1, W2
second number S1, W1
second n S1, W2
slightly adv S1, W2
section n S1, W1
rule n S1, W1
shoe n S1, W3
run v S1, W1
shop n S1, W1
see v S1, W1
small adj S1, W1
short adj S1, W1
seem v S1, W1
should modal S1, W1
sell v S1, W1
show n S1, W1
send v S1, W1
show v S1, W1
sale n S1, W1
sense n S1, W1
same adv S1, W1
shut v S1, W2
so adv S1, W1
same adj S1, W1
sick adj S1, W3
so conj S1, W3
same pron S1, W1
sentence n S1, W2
side n S1, W1
social adj S1, W1
society n S1, W1
serious adj S1, W1
serve v S1, W1
service n S1, W1
save v S1, W1
set n S1, W1
say v S1, W1
set v S1, W1
similar adj S1, W1
some determiner S1, W1
some pron S1, W1
some adv S1, W1
somebody pron S1, W3
stamp v S1, W1
someone pron S1, W1
stand v S1, W1
strong adj S1, W1
something pron S1, W1
sometimes adv S1, W1
somewhere adv S1, W2
son n S1, W1
start v S1, W1
student n S1, W1
song n S1, W2
start n S1, W2
soon adv S1, W1
state n S1, W2
sorry adj S1, W2
stuff n S1, W3
sort n S1, W1
stupid adj S1, W3
sort v S1, W3
station n S1, W1
sound n S1, W1
sound v S1, W2
system n S1, W1
stay v S1, W1
table n S1, W1
south n S1, W2
success n S1, W1
space n S1, W1
take v S1, W1
speak v S1, W1
talk n S1, W1
stick v S1, W3
talk v S1, W1
special adj S1, W1
still adv S1, W1
suddenly adv S1, W1
specific adj S1, W1
suffer v S1, W1
suggest v S1, W1
suggestion n S1, W2
stop v S1, W1
tax n S1, W1
spend v S1, W1
tea n S1, W2
store n S1, W1
teach v S1, W2
summer n S1, W1
teacher n S1, W1
story n S1, W1
team n S1, W1
straight adv S1, W2
support n S1, W1
support v S1, W2
telephone n S1, W2
television n S1, W1
suppose v S1, W1
tell v S1, W1
sure adj S1, W1
surely adv S1, W2
street n S1, W1
tend v S1, W1
term n S1, W1
stage n S1, W1
terrible adj S1, W3
to prep S1, W1
today adv S1, W1
test n S1, W1
trouble n S1, W2
together adv S1, W1
us pron S1, W1
use n S1, W1
true adj S1, W1
use v S1, W1
tomorrow adv S1, W2
used adj S1, W2
thank v S1, W2
trust n S1, W2
to modal S1, W2
useful adj S1, W1
truth n S1, W2
that adv S1, W2
tonight adv S1, W2
too adv S1, W1
try v S1, W1
usually adv S1, W1
that conj S1, W1
top adj S1, W1
top n S1, W2
